,unnamed: 0,name,platform,year_of_release,genre,publisher,na_players,eu_players,jp_players,other_players,global_players,critic_score,critic_count,user_score,user_count,developer,rating
183,184,Madden NFL 2004,PS2,,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94.0,29.0,8.5,140.0,EA Tiburon,E
377,378,FIFA Soccer 2004,PS2,,Sports,Electronic Arts,0.59,2.36,0.04,0.51,3.49,84.0,20.0,6.4,76.0,EA Canada,E
456,457,LEGO Batman: The Videogame,Wii,,Action,Warner Bros. Interactive Entertainment,1.8,0.97,0.0,0.29,3.06,74.0,17.0,7.9,22.0,Traveller's Tales,E10+
475,476,wwe Smackdown vs. Raw 2006,PS2,,Fighting,,1.57,1.02,0.0,0.41,3.0,,,,,,
609,610,Space Invaders,2600,,Shooter,Atari,2.36,0.14,0.0,0.03,2.53,,,,,,
627,628,Rock Band,X360,,Misc,Electronic Arts,1.93,0.33,0.0,0.21,2.47,92.0,72.0,8.2,178.0,Harmonix Music Systems,T
657,658,Frogger's Adventures: Temple of the Frog,GBA,,Adventure,Konami Digital Entertainment,2.15,0.18,0.0,0.07,2.39,73.0,4.0,tbd,,Konami Computer Entertainment Hawaii,E
679,680,Resident Evil - Code: Veronica X,PS2,2001.0,Action,Capcom,1.08,0.7,0.34,0.21,2.34,84.0,21.0,8.4,189.0,Capcom,M
720,721,New Super Luigi U,WiiU,2013.0,Platform,Nintendo,1.25,0.62,0.18,0.18,2.24,77.0,59.0,7.9,288.0,Nintendo,E
806,807,Warcraft: Orcs & Humans,PC,1994.0,Strategy,Activision,0.89,1.08,0.0,0.11,2.08,,,,,,
1132,1133,Ape Escape,PS,1999.0,Platform,Sony Computer Entertainment,0.71,0.48,0.32,0.11,1.63,90.0,19.0,8.8,53.0,SCEI,E
1143,1144,Dragon Quest IV: Chapters of the Chosen,DS,2007.0,Role-Playing,Square Enix,0.3,0.02,1.27,0.03,1.62,80.0,44.0,7.9,50.0,ArtePiazza,E10+
1302,1303,Dragon Quest VII: Warriors of Eden,3DS,2013.0,Role-Playing,Square Enix,0.06,0.09,1.3,0.01,1.46,,,,,,
1507,1508,Yu-Gi-Oh! The Sacred Cards,GBA,2002.0,Role-Playing,Konami Digital Entertainment,0.94,0.35,0.0,0.02,1.3,,,,,,
1539,1540,Yakuman,GB,1989.0,Misc,Nintendo,0.0,0.0,1.28,0.0,1.28,,,,,,
1586,1587,Watch Dogs,X360,2014.0,Action,Ubisoft,0.72,0.41,0.01,0.11,1.25,,,5,332.0,Ubisoft Montreal,M
1610,1611,Star Wars Episode III: Revenge of the Sith,XB,2005.0,Action,Activision,0.82,0.38,0.0,0.04,1.24,61.0,44.0,8.1,54.0,Double Helix Games,T
1651,1652,Cars,PS2,2006.0,Racing,THQ,1.01,0.04,0.0,0.16,1.21,71.0,30.0,8.4,12.0,Rainbow Studios,E
1700,1701,Disney Sing It,Wii,2008.0,Misc,Disney Interactive Studios,0.77,0.31,0.0,0.11,1.19,,,tbd,,Zoe Mode,E
1841,1842,Tom Clancy's Splinter Cell: Chaos Theory,XB,2005.0,Action,Ubisoft,0.68,0.38,0.0,0.05,1.11,94.0,70.0,9,160.0,Ubisoft Montreal,M
1985,1986,WWE SmackDown vs. Raw 2010,X360,2009.0,Fighting,THQ,0.56,0.37,0.01,0.1,1.04,80.0,59.0,8.4,36.0,Yuke's,T
2011,2012,Bomberman,NES,1985.0,Puzzle,Hudson Soft,0.18,0.0,0.85,0.0,1.03,,,,,,
2107,2108,Dead Space 3,X360,2013.0,Action,Electronic Arts,0.64,0.26,0.0,0.08,0.98,78.0,68.0,6.4,694.0,Visceral Games,M
2109,2110,Rocksmith 2014,PS3,2013.0,Misc,Ubisoft,0.53,0.24,0.05,0.16,0.98,,,,,,
2133,2134,LEGO Star Wars II: The Original Trilogy,GC,2006.0,Action,LucasArts,0.75,0.19,0.0,0.03,0.97,84.0,25.0,9.1,16.0,Traveller's Tales,E10+
2158,2159,World Championship Poker,PS2,2004.0,Misc,Play It,0.8,0.03,0.0,0.13,0.95,60.0,8.0,7.7,11.0,Coresoft,E
2170,2171,Wild ARMs,PS,1996.0,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.95,,,,,,
2274,2275,Tokyo Xtreme Racer 3,PS2,2003.0,Racing,Genki,0.35,0.27,0.21,0.09,0.91,63.0,15.0,8.9,23.0,Genki,E
2282,2283,SSX,PS3,2012.0,Sports,Electronic Arts,0.35,0.41,0.02,0.14,0.91,81.0,38.0,6.8,110.0,EA Canada,E
2362,2363,NBA 2K6,PS2,2005.0,Action,Take-Two Interactive,0.43,0.34,0.0,0.11,0.88,84.0,23.0,8.3,13.0,Visual Concepts,E
2454,2455, Tales of Xillia 2,PS3,2012.0,Role-Playing,Namco Bandai Games,0.2,0.12,0.45,0.07,0.84,71.0,59.0,7.9,216.0,Bandai Namco Games,T
2480,2481,Time Crisis 4,PS3,2007.0,Shooter,Namco Bandai Games,0.32,0.32,0.05,0.14,0.83,60.0,52.0,7.4,21.0,Nex Entertainment,T
2493,2494,Need for Speed: Nitro,Wii,2009.0,Racing,Electronic Arts,0.45,0.3,0.0,0.08,0.83,69.0,41.0,7.4,38.0,EA Montreal,E10+
2523,2524,Dragon Warrior III,GB,2000.0,Role-Playing,Enix Corporation,0.0,0.0,0.81,0.0,0.81,,,,,,
2537,2538,Patapon,PSP,2007.0,Misc,Sony Computer Entertainment,0.33,0.25,0.07,0.16,0.81,86.0,60.0,8.7,102.0,SCE Japan Studio,E
2573,2574,Hasbro Family Game Night 3,Wii,2010.0,Misc,Electronic Arts,0.46,0.27,0.0,0.07,0.8,,,tbd,,Electronic Arts,E
2774,2775,Lego Batman 3: Beyond Gotham,PS3,2014.0,Action,Warner Bros. Interactive Entertainment,0.33,0.28,0.0,0.12,0.74,,,6.7,11.0,TT Games,E10+
2850,2851,Super Monkey Ball Jr.,GBA,2002.0,Puzzle,Atari,0.51,0.19,0.0,0.01,0.72,82.0,20.0,8.6,11.0,Realism Ltd,E
2970,2971,Star Wars: Masters of Teras Kasi,PS,1997.0,Action,LucasArts,0.38,0.26,0.0,0.04,0.68,,,,,,
3025,3026,Disney Tangled,Wii,2010.0,Action,Disney Interactive Studios,0.46,0.16,0.0,0.05,0.67,,,,,,
3082,3083,Taiko no Tatsujin DS: Touch de Dokodon!,DS,2007.0,Misc,Namco Bandai Games,0.0,0.0,0.66,0.0,0.66,,,,,,
3188,3189,NASCAR 06: Total Team Control,PS2,2005.0,Racing,Electronic Arts,0.53,0.02,0.0,0.09,0.63,78.0,18.0,7.7,18.0,EA Sports,E
3224,3225,Tony Hawk's American Wasteland,XB,2005.0,Sports,Activision,0.4,0.2,0.0,0.03,0.62,77.0,40.0,7.7,15.0,Neversoft Entertainment,T
3234,3235,Tak 2: The Staff of Dreams,PS2,2004.0,Platform,THQ,0.3,0.24,0.0,0.08,0.62,71.0,31.0,8,10.0,Avalanche Software,E
3290,3291,Jak and Daxter: The Lost Frontier,PSP,2009.0,Platform,Sony Computer Entertainment,0.18,0.27,0.0,0.15,0.61,71.0,47.0,6.3,28.0,High Impact Games,E10+
3353,3354,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",X360,2007.0,Action,Activision,0.51,0.04,0.0,0.05,0.6,,,,,,
3414,3415,Asphalt: Urban GT,DS,2004.0,Racing,Ubisoft,0.31,0.22,0.0,0.06,0.59,60.0,38.0,7.5,13.0,Gameloft,E
3460,3461,Unreal Tournament,PS2,2000.0,Shooter,Infogrames,0.28,0.22,0.0,0.07,0.58,77.0,23.0,6.8,13.0,Epic Games,M
3487,3488,NCAA Football 10,PS2,2009.0,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.58,,,tbd,,EA Tiburon,E
3705,3706,Action Force,2600,1982.0,Action,CPG Products,0.5,0.03,0.0,0.01,0.54,,,,,,
3740,3741,The Incredible Hulk: Ultimate Destruction,PS2,2005.0,Action,Vivendi Games,0.26,0.2,0.0,0.07,0.54,83.0,41.0,8.7,38.0,Radical Entertainment,T
3884,3885,Pac-Man Fever,PS2,2001.0,Misc,Sony Computer Entertainment,0.25,0.2,0.0,0.07,0.51,47.0,14.0,6.3,7.0,Mass Media,E
3998,3999,Tomb Raider: Anniversary,PS2,2007.0,Action,Eidos Interactive,0.41,0.02,0.0,0.07,0.5,,,8.2,29.0,Crystal Dynamics,T
4128,4129,Fantavision,PS2,2000.0,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,0.04,0.47,72.0,18.0,6.3,9.0,SCEJ,E
4133,4134,X-Men: Next Dimension,PS2,2002.0,Fighting,Activision,0.23,0.18,0.0,0.06,0.47,61.0,19.0,8.7,13.0,Paradox Development,T
4206,4207,Art Academy: Lessons for Everyone,3DS,2012.0,Action,Nintendo,0.2,0.04,0.21,0.02,0.46,81.0,14.0,7.6,22.0,"Nintendo, Headstrong Games",E
4221,4222,Harry Potter and the Order of the Phoenix,Wii,2007.0,Action,Electronic Arts,0.38,0.05,0.0,0.04,0.46,69.0,34.0,7.2,28.0,EA Games,E10+
4295,4296,NFL Head Coach,PS2,2006.0,Sports,Electronic Arts,0.38,0.01,0.0,0.06,0.45,66.0,22.0,6.9,15.0,EA Tiburon,E
4338,4339,Mobile Suit Gundam,PS,1995.0,Action,Namco Bandai Games,0.0,0.0,0.42,0.03,0.45,,,,,,
4374,4375,Yu-Gi-Oh! Capsule Monster Coliseum,PS2,2004.0,Misc,Konami Digital Entertainment,0.22,0.17,0.0,0.06,0.44,,,,,,
4438,4439,FIFA Soccer 13,PSV,2012.0,Action,Electronic Arts,0.0,0.28,0.05,0.11,0.44,57.0,9.0,4.1,89.0,Electronic Arts,E
4446,4447,Eternal Darkness: Sanity's Requiem,GC,2002.0,Adventure,Nintendo,0.34,0.09,0.0,0.01,0.44,92.0,41.0,8.7,173.0,Silicon Knights,M
4636,4637,Paper Mario: Color Splash,WiiU,2016.0,Role-Playing,Nintendo,0.2,0.14,0.05,0.03,0.42,75.0,72.0,6.8,208.0,"Nintendo, Intelligent Systems",E
4649,4650,Attack on Titan: Humanity in Chains,3DS,2013.0,Action,Screenlife,0.0,0.0,0.42,0.0,0.42,46.0,22.0,4.5,34.0,Spike Chunsoft,M
4776,4777,TNA iMPACT!,PS3,2008.0,Fighting,Midway Games,0.22,0.12,0.0,0.06,0.4,,,,,,
4819,4820,My Virtual Tutor: Reading Adventure First to Second Grade,DS,2009.0,Misc,Mentor Interactive,0.37,0.0,0.0,0.03,0.4,,,,,,
4849,4850,SD Gundam G Generation Seed,PS2,2004.0,Strategy,Namco Bandai Games,0.0,0.0,0.4,0.0,0.4,,,,,,
4946,4947,Samurai Warriors Chronicles,3DS,2011.0,Action,Tecmo Koei,0.12,0.05,0.2,0.01,0.39,61.0,30.0,7.7,35.0,Omega Force,T
4960,4961,Triple Play 97,PS,1996.0,Sports,Electronic Arts Victor,0.21,0.15,0.0,0.03,0.38,,,,,,
5042,5043,Need for Speed: Nitro,DS,2009.0,Racing,Electronic Arts,0.21,0.13,0.0,0.04,0.38,70.0,7.0,6.3,7.0,Firebrand Games,E10+
5071,5072,Tobal 2,PS,1997.0,Fighting,SquareSoft,0.0,0.0,0.35,0.02,0.37,,,,,,
5157,5158,Fragile Dreams: Farewell Ruins of the Moon,Wii,2009.0,Role-Playing,Rising Star Games,0.16,0.12,0.06,0.03,0.36,67.0,41.0,8.3,63.0,Tri-Crescendo,T
5195,5196,BlazBlue: Calamity Trigger,X360,2009.0,Fighting,PQube,0.21,0.08,0.04,0.03,0.36,86.0,51.0,8.5,70.0,Arc System Works,T
5295,5296,Football Manager 2016,PC,2015.0,Simulation,Sega,0.0,0.33,0.0,0.02,0.35,81.0,34.0,6.9,97.0,Sega,E
5327,5328,Jikkyou Powerful Pro Yakyuu 7,PS2,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.35,0.0,0.35,,,,,,
5337,5338,Charlie and the Chocolate Factory,PS2,2005.0,Adventure,Global Star,0.17,0.13,0.0,0.04,0.35,35.0,21.0,4.1,28.0,"High Voltage Software, Backbone Entertainment",E
5444,5445,NHL 17,PS4,2016.0,Sports,Electronic Arts,0.19,0.08,0.0,0.06,0.33,78.0,26.0,5.8,67.0,"EA Canada, EA Vancouver",E10+
5493,5494,Naruto: Rise of a Ninja,X360,2007.0,Action,Ubisoft,0.29,0.01,0.0,0.03,0.33,78.0,35.0,8.6,84.0,Ubisoft Montreal,T
5589,5590,Dragon Ball Heroes: Ultimate Mission 2 ,3DS,2014.0,Strategy,Namco Bandai Games,0.0,0.0,0.32,0.0,0.32,,,,,,
5625,5626,Karaoke Revolution Volume 3,PS2,2004.0,Misc,Konami Digital Entertainment,0.16,0.12,0.0,0.04,0.32,82.0,25.0,7.8,10.0,Harmonix Music Systems,E
5643,5644,Frankenstein's Monster,2600,1982.0,Action,Data Age,0.3,0.02,0.0,0.0,0.32,,,,,,
5656,5657,The Conveni: Ano Machi wo Dokusen Seyo,PS,1997.0,Simulation,Human Entertainment,0.0,0.0,0.3,0.02,0.32,,,,,,
5770,5771,Clash of the Titans,PS3,2010.0,Action,Namco Bandai Games,0.09,0.15,0.01,0.05,0.31,41.0,28.0,1.7,17.0,Game Republic,T
